Category,Question
History,Who was the first President of the United States?
History,What year did the Titanic sink?
History,Which country gifted the Statue of Liberty to the USA?
History,Who was the first woman to win a Nobel Prize (in 1903)?
History,What ancient civilization built the Machu Picchu complex in Peru?
History,In what year did the Berlin Wall fall?
History,Who was known as the 'Maid of Orleans'?
History,What was the main cause of the Cold War?
History,Who discovered penicillin?
History,What empire was ruled by Genghis Khan?
Geography,What is the longest river in the world?
Geography,Which is the smallest country by area?
Geography,Name the largest desert in the world.
Geography,What is the capital of Australia?
Geography,Which country has the most natural lakes?
Geography,Mount Everest lies in which mountain range?
Geography,What is the national flower of Japan?
Geography,Name the longest mountain range in the world.
Geography,Which continent has the most countries?
Geography,What ocean lies on the east coast of the United States?
Science and Nature,What is the chemical symbol for gold?
Science and Nature,How many planets are in our Solar System?
Science and Nature,What is the hardest natural substance on Earth?
Science and Nature,What gas do plants absorb from the atmosphere?
Science and Nature,Who proposed the theory of relativity?
Science and Nature,What is the human body's largest organ?
Science and Nature,What planet is known as the Red Planet?
Science and Nature,What is the main component of the Sun?
Science and Nature,What force keeps us on the ground?
Science and Nature,How many bones are in the adult human body?
Literature and Arts,Who wrote 'Romeo and Juliet'?
Literature and Arts,What is the main language in which the Bhagavad Gita was written?
Literature and Arts,Who painted the Mona Lisa?
Literature and Arts,Name the author of '1984' and 'Animal Farm'.
Literature and Arts,What is the oldest surviving epic poem in English literature?
Literature and Arts,Who composed the Four Seasons?
Literature and Arts,Who is the Greek goddess of victory?
Literature and Arts,Which famous poet wrote 'The Raven'?
Literature and Arts,What Shakespeare play features the characters of Oberon and Titania?
Literature and Arts,Who wrote 'Les Misérables'?
Entertainment and Sports,Who directed the movie 'Jaws'?
Entertainment and Sports,What year did the first episode of 'Game of Thrones' air?
Entertainment and Sports,Who won the FIFA World Cup in 2014?
Entertainment and Sports,Name the Beatles' debut album.
Entertainment and Sports,Who is known as the 'King of Pop'?
Entertainment and Sports,Which country hosted the 2016 Summer Olympics?
Entertainment and Sports,What is the highest-grossing film of all time?
Entertainment and Sports,Who holds the record for most Grand Slam titles in tennis?
Entertainment and Sports,Which actor played the lead role in 'Indiana Jones'?
Entertainment and Sports,Who was the first female gymnast to score a perfect 10 in the Olympics?
